id,nama_resep,bahan_resep,bahan_alergen,daerah_resep,umur_resep
1,Bubur Hati Ayam,"nasi, hati ayam, bayam, minyak jagung, garam, bawang putih, bawang merah, jahe",,Indonesia,6-8 Bulan
2,Bubur Hati Ayam Santan,"nasi, hati ayam, wortel, santan, minyak kelapa sawit, air, garam, bawnag putih, bawang merah",,Indonesia,6-8 Bulan
3,Bubur Pepes Hati Ayam,"nasi, hati ayam, wortel, minyak kelapa, tomat, daun jeruk, daun salam, bawang merah, bawang putih, jahe, kunyit, serai, gula, garam",,Indonesia,6-8 Bulan
4,Bubur Udang Tahu,"nasi, udang giling, santan, tahu, tomat, kemangi, daun salam, jeruk nipis, garam, bawang merah, bawang putih, kemiri, jahe, gula",udang,Indonesia,6-8 Bulan
4,Bubur Udang Tahu,"nasi, udang giling, santan, tahu, tomat, kemangi, daun salam, jeruk nipis, garam, bawang merah, bawang putih, kemiri, jahe, gula",tahu,Indonesia,6-8 Bulan
5,Bubur Udang Buncis,"nasi, udang giling, buncis, minyak jagung, jeruk nipis, bawang putih, bawang merah, garam",udang,Indonesia,6-8 Bulan
6,Bubur Patin,"nasi, hati ayam, ikan patin, tomat, minyak jagung, bawang bombai, jahe, daun salam, daun jeruk, seledri, garam air, jeruk nipis, bawang putih, bawang merah",ikan,Indonesia,6-8 Bulan
7,Bubur Daging Sapi,"nasi, daging sapi, bayam, minyak kelapa, garam, bawnag merah, bawang putih",,Indonesia,6-8 Bulan
8,Bubur Hati dan Ayam,"beras, dada ayam giling, hati ayam, brokoli, kaldu ayam, air, tahu, minyak kanola, garam, bawang putih, bawang merah, jahe",tahu,Indonesia,6-8 Bulan
9,Bubur Tenggiri,"beras, ikan tenggiri, buncis, kaldu ayam, minyak kelapa, garam, bawang putih, bawang merah",ikan,Indonesia,6-8 Bulan
10,Bubur Ayam Mentega,"beras, daging ayam giling, telur, wortel, air kaldu, mentega, garam, bawang merah, bawang putih",mentega,Indonesia,6-8 Bulan
10,Bubur Ayam Mentega,"beras, daging ayam giling, telur, wortel, air kaldu, mentega, garam, bawang merah, bawang putih",telur,Indonesia,6-8 Bulan
11,Bubur Telur Daging,"nasi, daging sapi, telur, brokoli, air, bawag putih, bawang merah, kecap asin, minyak wijen, mentega, merica, garam",minyak wijen,Indonesia,6-8 Bulan
11,Bubur Telur Daging,"nasi, daging sapi, telur, brokoli, air, bawag putih, bawang merah, kecap asin, minyak wijen, mentega, merica, garam",kecap,Indonesia,6-8 Bulan
11,Bubur Telur Daging,"nasi, daging sapi, telur, brokoli, air, bawag putih, bawang merah, kecap asin, minyak wijen, mentega, merica, garam",mentega,Indonesia,6-8 Bulan
12,Bubur Puyuh Hati Ayam,"nasi, puyuh, hati ayam, buncis, minyak jagung, garam, bawang putih, bawang merah",,Indonesia,6-8 Bulan
13,Bubur Pepes Ikan Kembung,"nasi. Ikan kembung, daun jeruk, daun salam, minyak jagung, tomat, kemangi, jeruk nipis, daun pisang, garam, bawang merah, bawang putih, jahe, serai, lengkuas",ikan,Indonesia,6-8 Bulan
14,Bubur Kentang Hati Ayam,"kentang, hati ayam, wortel, susu uht, kecap, minyak sayur, merica, garam, bawnag putih, bawang merah",kecap,Indonesia,6-8 Bulan
14,Bubur Kentang Hati Ayam,"kentang, hati ayam, wortel, susu uht, kecap, minyak sayur, merica, garam, bawnag putih, bawang merah",susu,Indonesia,6-8 Bulan
15,Bubur Opor Ayam,"nasi, daging ayam, santan cair, wortel parut, daun salam, daun jeruk, air, minyak jagung, garam, bawang putih, bawang merah, jahe, kemiri, ketumbar",,Indonesia,6-8 Bulan
16,Bubur Tahu Ikan Patin,"nasi, ikan patin, tahu, brokoli, telur ayam, tomat, minyak kelapa, kemangi, garam, daun pisang, bawang putih, bawang merah, bawang  cincang",ikan,Indonesia,6-8 Bulan
16,Bubur Tahu Ikan Patin,"nasi, ikan patin, tahu, brokoli, telur ayam, tomat, minyak kelapa, kemangi, garam, daun pisang, bawang putih, bawang merah, bawang  cincang",tahu,Indonesia,6-8 Bulan
16,Bubur Tahu Ikan Patin,"nasi, ikan patin, tahu, brokoli, telur ayam, tomat, minyak kelapa, kemangi, garam, daun pisang, bawang putih, bawang merah, bawang  cincang",telur,Indonesia,6-8 Bulan
17,Bubur Mujair,"nasi, ikan mujair, hati ayam, wortel parut, daun salam, daun jeruk, minyak kanola, daun bawang, garam, bawang putih, bawang merah",ikan,Indonesia,6-8 Bulan
18,Bubur Kakap Tempe,"nasi, ikan kakap, tempe, tomat, kaldu ikan, minyak kedelai, garam, bawang putih, bawang merah",ikan,Indonesia,6-8 Bulan
18,Bubur Kakap Tempe,"nasi, ikan kakap, tempe, tomat, kaldu ikan, minyak kedelai, garam, bawang putih, bawang merah",tempe,Indonesia,6-8 Bulan
19,Bubur Uduk Hati Sapo,"nasi, hati sapi, jahe, bayam, santan, minyak sayur, serai, garam, bawang putih, bawang merah",,Indonesia,6-8 Bulan
20,Bubur Uduk Udang,"nasi, udang, santan, wortel, daun salam, minyak kelapa, jahe, serai, hgaram, bawang putih, bawang merah",,Indonesia,6-8 Bulan
21,Pure Avokad Jeruk,"avokad, jeruk peras",,Indonesia,6-8 Bulan
22,Pure Pisang Apel,"apel, pisang, yogurt",yogurt,Indonesia,6-8 Bulan
23,Puding Susu Vanila,"kuning telur, susu, gula, pasta vanila, agar-agar, garam",telur,Indonesia,6-8 Bulan
23,Puding Susu Vanila,"kuning telur, susu, gula, pasta vanila, agar-agar, garam",susu,Indonesia,6-8 Bulan
24,Roti Kukus Keju,"roti tawar, susu, telur, keju, margarin, bubuk vanili",susu,Indonesia,6-8 Bulan
